"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"31";"0.1uF";"C-US025-024X044";"C025-024X044";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31";"CAPACITOR, American symbol";"";
"4";"10k";"R-US_0207/10";"0207/10";"R3, R4, R5, R6";"RESISTOR, American symbol";"";
"1";"22k";"R-US_0207/10";"0207/10";"R2";"RESISTOR, American symbol";"";
"1";"270";"R-US_0207/10";"0207/10";"R1";"RESISTOR, American symbol";"";
"1";"2N4403";"TRANSISTOR-PNP-2N4403";"TO92";"Q1";"";"";
"1";"470";"R-US_0207/10";"0207/10";"R7";"RESISTOR, American symbol";"";
"1";"4MHz";"OSC-OE";"DIL08S";"Y1";"";"";
"2";"7400";"74LS00N";"DIL14";"U3, U17";"Quad 2-input NAND gate";"";
"2";"7404";"74LS04N";"DIL14";"U4, U19";"Hex INVERTER";"";
"1";"7408";"74LS08N";"DIL14";"U18";"Quad 2-input AND gate";"";
"3";"74138";"74LS138N";"DIL16";"U1, U2, U22";"3-line to 8-line DECODER/DEMULTIPLEXER";"";
"1";"74148";"74LS148N";"DIL16";"U23";"10-line to 4-line and 8-line to 3-line PRIORITY ENCODER";"";
"7";"74244";"74LS244N";"DIL20";"U8, U12, U13, U14, U21, U24, U25";"Octal BUFFER and LINE DRIVER, 3-state";"";
"1";"74245";"74LS245N";"DIL20";"U15";"Octal BUS TRANSCEIVER, 3-state";"";
"2";"74257";"74LS257N";"DIL16";"U5, U29";"Quadruple 2-to 1 line data SELECTOR/MULTIPLEXER";"";
"2";"74273";"74273N";"DIL20";"U11, U26";"Octal D type FLIP FLOP, clear";"";
"2";"7432";"74LS32N";"DIL14";"U27, U28";"Quad 2-input OR gate";"";
"1";"74574";"74HC574N";"DIL20";"U16";"8-bit D type FLIP FLOP bus driver";"";
"2";"74688";"74LS688N";"DIL20";"U6, U7";"8-bit MAGNITUDE/IDENTITY COMPARATOR, totem pole";"";
"3";"7474";"74LS74N";"DIL14";"U9, U10, U30";"Dual D type positive edge triggered FLIP FLOP, preset and clear";"";
"3";"PINHD-1X2THRU";"PINHD-1X2THRU";"1X02";"JP3, JP4, JP5";"";"";
"2";"PINHD1X3THRU";"PINHD1X3THRU";"1X03";"JP1, JP2";"";"";
"1";"RED";"LED5MM";"LED5MM";"D1";"LED";"";
"1";"W65C02S";"W65C02P";"DIL40";"U20";"";"";
"1";"XMICRO-BUS-EDGE62M";"XMICRO-BUS-EDGE62M";"EDGE62M";"PC0";"";"";
